unique_id	citing_ACL_id	citing_title	cited_title	cited_authors	section_title	citation_context	cite_context_paragraph	citation_object	citation_function	aclarc_label
CC1007	P02-1001	Parameter estimation for probabilistic finite-state transducers	an inequality and associated maximization technique in statistical estimation of probabilistic functions of a markov process	['L E Baum']	method	For HMMs ( footnote 11 ) , Ti is the familiar trellis , and we would like this computation of ti to reduce to the forwardbackward algorithm ( [CITED_AUTHOR] ) .	['‚Ä¢ In many cases of interest, T i is an acyclic graph. 20', "hen Tarjan's method computes w 0j for each j in topologically sorted order, thereby finding t i in a linear number of ‚äï and ‚äó operations.", 'For HMMs ( footnote 11 ) , Ti is the familiar trellis , and we would like this computation of ti to reduce to the forwardbackward algorithm ( [CITED_AUTHOR] ) .', 'But notice that it has no backward pass.', 'In place of pushing cumulative probabilities backward to the arcs, it pushes cumulative arcs (more generally, values in V ) forward to the probabilities.', 'This is slower because our ‚äï and ‚äó are vector operations, and the vectors rapidly lose sparsity as they are added together.']	Produced Resource	Contextualize	0
CC1008	P02-1001	Parameter estimation for probabilistic finite-state transducers	a rational design for a weighted finitestate transducer library	['M Mohri', 'F Pereira', 'M Riley']	introduction	The availability of toolkits for this weighted case ( [CITED_AUTHOR] ; van Noord and Gerdemann , 2001 ) promises to unify much of statistical NLP .	['The availability of toolkits for this weighted case ( [CITED_AUTHOR] ; van Noord and Gerdemann , 2001 ) promises to unify much of statistical NLP .', 'Such tools make it easy to run most current approaches to statistical markup, chunking, normalization, segmentation, alignment, and noisy-channel decoding, 1 including classic models for speech recognition (Pereira and Riley, 1997) and machine translation (Knight and Al-Onaizan, 1998).', 'Moreover, once the models are expressed in the finitestate framework, it is easy to use operators to tweak them, to apply them to speech lattices or other sets, and to combine them with linguistic resources.']	Produced Resource	Contextualize	0
CC1009	P02-1001	Parameter estimation for probabilistic finite-state transducers	learning string edit distance	['E Ristad', 'P Yianilos']	introduction	For example , the forward-backward algorithm ( Baum , 1972 ) trains only Hidden Markov Models , while ( [CITED_AUTHOR] ) trains only stochastic edit distance .	['Unfortunately, there is a stumbling block: Where do the weights come from?', 'After all, statistical models require supervised or unsupervised training.', 'Currently, finite-state practitioners derive weights using exogenous training methods, then patch them onto transducer arcs.', 'Not only do these methods require additional programming outside the toolkit, but they are limited to particular kinds of models and training regimens.', 'For example , the forward-backward algorithm ( Baum , 1972 ) trains only Hidden Markov Models , while ( [CITED_AUTHOR] ) trains only stochastic edit distance .']	Performed Work	Highlight Limitation	0
CC101	D10-1101	Extracting Opinion Targets in a Single-and Cross-Domain Setting with Conditional Random Fields	instance weighting for domain adaptation in nlp	['Jing Jiang', 'ChengXiang Zhai']	conclusion	For future work , we might investigate how machine learning algorithms , which are specifically designed for the problem of domain adaptation ( Blitzer et al. , 2007 ; [CITED_AUTHOR] ) , perform in comparison to our approach .	['In this paper, we have shown how a CRF-based approach for opinion target extraction performs in a single-and cross-domain setting.', 'We have presented a comparative evaluation of our approach on datasets from four different domains.', 'In the single-domain setting, our CRF-based approach outperforms a supervised baseline on all four datasets.', 'Our error analysis indicates that additional features, which can capture opinions in more complex sentences, are required to improve the performance of the opinion target extraction.', 'Our CRF-based approach also yields promising results in the crossdomain setting.', 'The features we employ scale well across domains, given that the opinion target vocabularies are substantially different.', 'For future work , we might investigate how machine learning algorithms , which are specifically designed for the problem of domain adaptation ( Blitzer et al. , 2007 ; [CITED_AUTHOR] ) , perform in comparison to our approach .', 'Since three of the features we employed in our CRF-based approach are based on the respective opinion expressions, it is to investigate how to mitigate the possible negative effects introduced by errors in the opinion expression identification if they are not annotated in the gold standard.', 'We observe similar challenges as Choi et al. (2005) regarding the analysis of complex sentences.', 'Although our data is user-generated from Web 2.0 communities, a manual inspection has shown that the documents were of relatively high textual quality.', 'It is to investigate to which extent the approaches taken in the analysis of newswire, such as identifying targets with coreference resolution, can also be applied to our task on user-generated discourse.']	Produced Resource	Signal Gap	3
CC1010	P02-1001	Parameter estimation for probabilistic finite-state transducers	iterative methods for solving linear systems	['Anne Greenbaum']	method	The forward and backward probabilities , p0j and pkn , can be computed using single-source algebraic path for the simpler semiring ( R , + , x , √¢¬à¬ó ) -- or equivalently , by solving a sparse linear system of equations over R , a much-studied problem at O ( n ) space , O ( nm ) time , and faster approximations ( [CITED_AUTHOR] ) .	['We therefore reintroduce a backward pass that lets us avoid ‚äï and ‚äó when computing t i (so they are needed only to construct T i ).', 'This speedup also works for cyclic graphs and for any V .', 'Write w jk as (p jk , v jk ), and let w 1 jk = (p 1 jk , v 1 jk ) denote the weight of the edge from j to k. 19 Then it can be shown that w 0n = (p 0n , j,k p 0j v 1 jk p kn ).', 'The forward and backward probabilities , p0j and pkn , can be computed using single-source algebraic path for the simpler semiring ( R , + , x , √¢\x88\x97 ) -- or equivalently , by solving a sparse linear system of equations over R , a much-studied problem at O ( n ) space , O ( nm ) time , and faster approximations ( [CITED_AUTHOR] ) .']	Produced Resource	Justify Design Choice	0
CC1011	P02-1001	Parameter estimation for probabilistic finite-state transducers	rational series and their languages	['Jean Berstel', 'Christophe Reutenauer']	introduction	4To prove ( 1 ) √¢¬á¬í ( 3 ) , express f as an FST and apply the well-known Kleene-Sch √Ç¬® utzenberger construction ( [CITED_AUTHOR] ) , taking care to write each regexp in the construction as a constant times a probabilistic regexp .	['4To prove ( 1 ) √¢\x87\x92 ( 3 ) , express f as an FST and apply the well-known Kleene-Sch √Ç¬® utzenberger construction ( [CITED_AUTHOR] ) , taking care to write each regexp in the construction as a constant times a probabilistic regexp .', 'A full proof is straightforward, as are proofs of (3)_(2), (2)_(1).']	Produced Resource	Use	5
CC1012	P02-1001	Parameter estimation for probabilistic finite-state transducers	a systolic array algorithm for the algebraic path problem shortest paths matrix inversion	['G¬®unter Rote']	method	Efficient hardware implementation is also possible via chip-level parallelism ( [CITED_AUTHOR] ) .	['For a general graph Ti, Tarjan (1981b) shows how to partition into “hard” subgraphs that localize the cyclicity or irreducibility, then run the O(n3) algorithm on each subgraph (thereby reducing n to as little as 1), and recombine the results.', 'The overhead of partitioning and recombining is essentially only O(m).', 'For speeding up the O(n3) problem on subgraphs, one can use an approximate relaxation technique (Mohri, 2002).', 'Efficient hardware implementation is also possible via chip-level parallelism ( [CITED_AUTHOR] ) .', 'In many cases of interest, Ti is an acyclic graph.20', 'Then Tarjan’s method computes w0j for each j in topologically sorted order, thereby finding ti in a linear number of ⊕ and ⊗ operations.']	Discovery	Contextualize	3
CC1013	P02-1001	Parameter estimation for probabilistic finite-state transducers	expectation semirings flexible em for finitestate transducers	['Jason Eisner']	method	Per-state joint normalization ( [CITED_AUTHOR]b , √Ç¬ß 8.2 ) is similar but drops the dependence on a .	['For globally normalized, joint models, the predicted vector is ecf (Σ∗, ∆∗). If the log-linear probabilities are conditioned on the state and/or the input, the predicted vector is harder to describe (though usually much easier to compute).', 'For per-state conditional normalization, let Dj,a be the set of arcs from state j with input symbol a ‚àà Œ£; their weights are normalized to sum to 1.', 'Besides computing c, the E step must count the expected number dj,a of traversals of arcs in each Dj,a.', 'Then the predicted vector given Œ∏ is j,a dj,a ‚Ä¢ (expected feature counts on a randomly chosen arc in Dj,a).', 'Per-state joint normalization ( [CITED_AUTHOR]b , √Ç¬ß 8.2 ) is similar but drops the dependence on a .', 'The difficult case is global conditional normalization.', 'It arises, for example, when training a joint model of the form']	Produced Resource	Contextualize	1
CC1014	P02-1001	Parameter estimation for probabilistic finite-state transducers	maximum likelihood from incomplete data via the em algorithm	['A P Dempster', 'N M Laird', 'D B Rubin']	method	The EM algorithm ( [CITED_AUTHOR] ) can maximize these functions .	['The EM algorithm ( [CITED_AUTHOR] ) can maximize these functions .', 'Roughly, the E step guesses hidden information: if (x i , y i ) was generated from the current f Œ∏ , which FST paths stand a chance of having been the path used?', '(Guessing the path also guesses the exact input and output.)', 'The M step updates Œ∏ to make those paths more likely.', 'EM alternates these steps and converges to a local optimum.', "The M step's form depends on the parameterization and the E step serves the M step's needs."]	Produced Resource	Use	5
CC1015	P02-1001	Parameter estimation for probabilistic finite-state transducers	compilation of weighted finitestate transducers from decision trees	['Richard Sproat', 'Michael Riley']	introduction	For defining conditional relations , a good regexp language is unknown to us , but they can be defined in several other ways : ( 1 ) via FSTs as in Fig. 1c , ( 2 ) by compilation of weighted rewrite rules ( Mohri and Sproat , 1996 ) , ( 3 ) by compilation of decision trees ( [CITED_AUTHOR] ) , ( 4 ) as a relation that performs contextual left-to-right replacement of input substrings by a smaller conditional relation ( Gerdemann and van Noord , 1999 ) ,5 ( 5 ) by conditionalization of a joint relation as discussed below .	['For defining conditional relations , a good regexp language is unknown to us , but they can be defined in several other ways : ( 1 ) via FSTs as in Fig. 1c , ( 2 ) by compilation of weighted rewrite rules ( Mohri and Sproat , 1996 ) , ( 3 ) by compilation of decision trees ( [CITED_AUTHOR] ) , ( 4 ) as a relation that performs contextual left-to-right replacement of input substrings by a smaller conditional relation ( Gerdemann and van Noord , 1999 ) ,5 ( 5 ) by conditionalization of a joint relation as discussed below .']	Performed Work	Contextualize	0
CC1016	P02-1001	Parameter estimation for probabilistic finite-state transducers	algebraic structures for transitive closure	['D J Lehmann']	method	Now for some important remarks on efficiency : √¢¬Ä¬¢ Computing ti is an instance of the well-known algebraic path problem ( [CITED_AUTHOR] ; Tar an , 1981a ) . Then ti is the total semiring weight w0n of paths in Ti from initial state 0 to final state n (assumed WLOG to be unique and un- weighted).	['Now for some important remarks on efficiency : √¢\x80¬¢ Computing ti is an instance of the well-known algebraic path problem ( [CITED_AUTHOR] ; Tar an , 1981a ) . Then ti is the total semiring weight w0n of paths in Ti from initial state 0 to final state n (assumed WLOG to be unique and un- weighted).', 'It is wasteful to compute ti as suggested earlier, by minimizing (__xi)_f_(yi__), since then the real work is done by an _-closure step (Mohri, 2002) that implements the all-pairs version of algebraic path, whereas all we need is the single-source version.', 'If n and m are the number of states and edges,19 then both problems are O(n3) in the worst case, but the single-source version can be solved in essentially O(m) time for acyclic graphs and other reducible flow graphs (Tarjan, 1981b).', 'For a general graph Ti, Tarjan (1981b) shows how to partition into ÔøΩhardÔøΩ subgraphs that localize the cyclicity or irreducibility, then run the O(n3) algorithm on each subgraph (thereby reducing n to as little as 1), and recombine the results.', 'The overhead of partitioning and recombining is essentially only O(m).']	Produced Resource	Contextualize	0
CC1017	P02-1001	Parameter estimation for probabilistic finite-state transducers	conditional random fields probabilistic models for segmenting and labeling sequence data	['J Lafferty', 'A McCallum', 'F Pereira']	introduction	Such approaches have been tried recently in restricted cases ( McCallum et al. , 2000 ; Eisner , 2001b ; [CITED_AUTHOR] ) .	['o:e ‚àí‚Üí, and a:ae ‚àí‚Üí share a contextual "vowel-fronting" feature, then their weights rise and fall together with the strength of that feature.', 'The resulting machine must be normalized, either per-state or globally, to obtain a joint or a conditional distribution as desired.', 'Such approaches have been tried recently in restricted cases ( McCallum et al. , 2000 ; Eisner , 2001b ; [CITED_AUTHOR] ) .']	Performed Work	Contextualize	0
CC1018	P02-1001	Parameter estimation for probabilistic finite-state transducers	a gaussian prior for smoothing maximum entropy models	['Stanley F Chen', 'Ronald Rosenfeld']	method	In a log-linear parameterization , for example , a prior that penalizes feature strengths far from 1 can be used to do feature selection and avoid overfitting ( [CITED_AUTHOR] ) .	['What to optimize? Maximum-likelihood estimation guesses 0\u02c6 to be the 0 maximizing Hi f\u03b8(xi, yi).', 'Maximum-posterior estimation tries to maximize P (Œ∏) ‚Ä¢ i f Œ∏ (x i , y i ) where P (Œ∏) is a prior probability.', 'In a log-linear parameterization , for example , a prior that penalizes feature strengths far from 1 can be used to do feature selection and avoid overfitting ( [CITED_AUTHOR] ) .', 'The EM algorithm (Dempster et al., 1977) can maximize these functions.', 'Roughly, the E step guesses hidden information: if (xi, yi) was generated from the current f\u03b8, which FST paths stand a chance of having been the path used? (Guessing the path also guesses the exact input and output.)']	Produced Resource	Use	5
CC1019	P02-1001	Parameter estimation for probabilistic finite-state transducers	hidden markov models with finite state supervision in	['E Ristad']	method	For example , in ordinary HMM training , xi = E * and represents a completely hidden state sequence ( cfXXX [CITED_AUTHOR] , who allows any regular set ) , while yi is a single string representing a completely observed emission sequence .11	['As training data we are given a set of observed (input, output) pairs, (xi, yi).', 'These are assumed to be independent random samples from a joint dis- tribution of the form f_ÔøΩ(x, y); the goal is to recover the true _ÔøΩ.', 'Samples need not be fully observed (partly supervised training): thus xi _ __, yi _ ÔøΩ_ may be given as regular sets in which input and output were observed to fall.', 'For example , in ordinary HMM training , xi = E * and represents a completely hidden state sequence ( cfXXX [CITED_AUTHOR] , who allows any regular set ) , while yi is a single string representing a completely observed emission sequence .11']	Discovery	Contextualize	0
CC102	D10-1101	Extracting Opinion Targets in a Single-and Cross-Domain Setting with Conditional Random Fields	biographies bollywood boomboxes and blenders domain adaptation for sentiment classification	['John Blitzer', 'Mark Dredze', 'Fernando Pereira']	conclusion	For future work , we might investigate how machine learning algorithms , which are specifically designed for the problem of domain adaptation ( [CITED_AUTHOR] ; Jiang and Zhai , 2007 ) , perform in comparison to our approach .	['In this paper, we have shown how a CRF-based approach for opinion target extraction performs in a single-and cross-domain setting.', 'We have presented a comparative evaluation of our approach on datasets from four different domains.', 'In the single-domain setting, our CRF-based approach outperforms a supervised baseline on all four datasets.', 'Our error analysis indicates that additional features, which can capture opinions in more complex sentences, are required to improve the performance of the opinion target extraction.', 'Our CRF-based approach also yields promising results in the crossdomain setting.', 'The features we employ scale well across domains, given that the opinion target vocabularies are substantially different.', 'For future work , we might investigate how machine learning algorithms , which are specifically designed for the problem of domain adaptation ( [CITED_AUTHOR] ; Jiang and Zhai , 2007 ) , perform in comparison to our approach .', 'Since three of the features we employed in our CRF-based approach are based on the respective opinion expressions, it is to investigate how to mitigate the possible negative effects introduced by errors in the opinion expression identification if they are not annotated in the gold standard.', 'We observe similar challenges as Choi et al. (2005) regarding the analysis of complex sentences.', 'Although our data is user-generated from Web 2.0 communities, a manual inspection has shown that the documents were of relatively high textual quality.', 'It is to investigate to which extent the approaches taken in the analysis of newswire, such as identifying targets with coreference resolution, can also be applied to our task on user-generated discourse.']	Produced Resource	Signal Gap	3
CC1020	P02-1001	Parameter estimation for probabilistic finite-state transducers	speech recognition by composition of weighted finite automata	['Fernando C N Pereira', 'Michael Riley']	introduction	Such tools make it easy to run most current approaches to statistical markup , chunking , normalization , segmentation , alignment , and noisy-channel decoding , ' including classic models for speech recognition ( [CITED_AUTHOR] ) and machine translation ( Knight and Al-Onaizan , 1998 ) .	['The availability of toolkits for this weighted case (Mohri et al., 1998;van Noord and Gerdemann, 2001) promises to unify much of statistical NLP.', "Such tools make it easy to run most current approaches to statistical markup , chunking , normalization , segmentation , alignment , and noisy-channel decoding , ' including classic models for speech recognition ( [CITED_AUTHOR] ) and machine translation ( Knight and Al-Onaizan , 1998 ) .", 'Moreover, once the models are expressed in the finitestate framework, it is easy to use operators to tweak them, to apply them to speech lattices or other sets, and to combine them with linguistic resources.']	Produced Resource	Contextualize	0
CC1021	P02-1001	Parameter estimation for probabilistic finite-state transducers	generic epsilonremoval and input epsilonnormalization algorithms for weighted transducers	['M Mohri']	method	It is wasteful to compute ti as suggested earlier , by minimizing ( cxxi ) of o ( yixE ) , since then the real work is done by an c-closure step ( [CITED_AUTHOR] ) that implements the all-pairs version of algebraic path , whereas all we need is the single-source version .	['‚Ä¢ Computing t i is an instance of the well-known algebraic path problem (Lehmann, 1977;Tarjan, 1981a).', 'Let T i = x i ‚Ä¢f ‚Ä¢y i .', 'Then t i is the total semiring weight w 0n of paths in T i from initial state 0 to final state n (assumed WLOG to be unique and unweighted).', 'It is wasteful to compute ti as suggested earlier , by minimizing ( cxxi ) of o ( yixE ) , since then the real work is done by an c-closure step ( [CITED_AUTHOR] ) that implements the all-pairs version of algebraic path , whereas all we need is the single-source version .', 'If n and m are the number of states and edges, 19 then both problems are O(n 3 ) in the worst case, but the single-source version can be solved in essentially O(m) time for acyclic graphs and other reducible flow graphs (Tarjan, 1981b).', 'For a general graph T i , Tarjan (1981b) shows how to partition into "hard" subgraphs that localize the cyclicity or irreducibility, then run the O(n 3 ) algorithm on each subgraph (thereby reducing n to as little as 1), and recombine the results.', 'The overhead of partitioning and recombining is essentially only O(m).']	Produced Resource	Highlight Limitation	0
CC1022	P02-1001	Parameter estimation for probabilistic finite-state transducers	conditional random fields probabilistic models for segmenting and labeling sequence data	['J Lafferty', 'A McCallum', 'F Pereira']	introduction	Undesirable consequences of this fact have been termed "label bias" ( [CITED_AUTHOR] ) .	['‚Ä¢ An easy approach is to normalize the options at each state to make the FST Markovian.', 'Unfortunately, the result may differ for equivalent FSTs that express the same weighted relation.', 'Undesirable consequences of this fact have been termed "label bias" ( [CITED_AUTHOR] ) .', 'Also, in the conditional case such per-state normalization is only correct if all states accept all input suffixes (since "dead ends" leak probability mass). 8', ' A better-founded approach is global normalization, which simply divides each f (x, y) by']	Discovery	Highlight Limitation	0
CC1023	P02-1001	Parameter estimation for probabilistic finite-state transducers	expectation semirings flexible em for finitestate transducers	['Jason Eisner']	introduction	A brief version of this work, with some additional material, first appeared as ( [CITED_AUTHOR]a ) .	['Its unusual flexibility for the practiced programmer stems from the many operations under which rational relations are closed.', 'It is common to define further useful operations (as macros), which modify existing relations not by editing their source code but simply by operating on them \u201cfrom outside.', 'A brief version of this work, with some additional material, first appeared as ( [CITED_AUTHOR]a ) .', 'A leisurely journal-length version with more details has been prepared and is available.', 'The entire paradigm has been generalized to weighted relations, which assign a weight to each (input, output) pair rather than simply including or excluding it.']	Performed Work	Contextualize	2
CC1024	P02-1001	Parameter estimation for probabilistic finite-state transducers	regular approximation of contextfree grammars through transformation	['M Mohri', 'M-J Nederhof']	introduction	A more subtle example is weighted FSAs that approximate PCFGs ( Nederhof , 2000 ; [CITED_AUTHOR] ) , or to extend the idea , weighted FSTs that approximate joint or conditional synchronous PCFGs built for translation .	['w,x,y P (v|w)P (w, x)P (y|x)P (z|y), implemented by composing 4 machines. 6,7', 'here are also procedures for defining weighted FSTs that are not probabilistic (Berstel and Reutenauer, 1988).', 'Arbitrary weights such as 2.7 may be assigned to arcs or sprinkled through a regexp (to be compiled into : /2.7 ‚àí‚Üí arcs).', 'A more subtle example is weighted FSAs that approximate PCFGs ( Nederhof , 2000 ; [CITED_AUTHOR] ) , or to extend the idea , weighted FSTs that approximate joint or conditional synchronous PCFGs built for translation .', "These are parameterized by the PCFG's parameters, but add or remove strings of the PCFG to leave an improper probability distribution."]	Produced Resource	Contextualize	0
