citing_year	citation_intent	citation_content
2005	Use	Produced Resource
2005	Justify Design Choice	Discovery
2012	Use	Produced Resource
2005	Justify Design Choice	Discovery
2005	Contextualize	Performed Work
2005	Use	Performed Work
2005	Contextualize	Performed Work
2005	Use	Produced Resource
2005	Use	Produced Resource
2005	Contextualize	Performed Work
2005	Contextualize	Performed Work
2005	Contextualize	Produced Resource
2005	Contextualize	Discovery
2012	Contextualize	Produced Resource
2005	Use	Produced Resource
2005	Use	Produced Resource
2005	Use	Produced Resource
2006	Justify Design Choice	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Performed Work
2006	Contextualize	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Performed Work
2012	Contextualize	Performed Work
2006	Justify Design Choice	Performed Work
2006	Contextualize	Produced Resource
2006	Use	Produced Resource
2006	Signal Gap	Discovery
2006	Evaluate Against	Performed Work
2006	Use	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Performed Work
2000	Highlight Limitation	Performed Work
2012	Use	Produced Resource
2006	Contextualize	Produced Resource
2006	Justify Design Choice	Discovery
2006	Use	Produced Resource
2006	Evaluate Against	Performed Work
2006	Use	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Performed Work
2006	Use	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2012	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Justify Design Choice	Discovery
2006	Highlight Limitation	Performed Work
2006	Highlight Limitation	Performed Work
2006	Evaluate Against	Performed Work
2006	Contextualize	Performed Work
2006	Evaluate Against	Performed Work
2006	Contextualize	Produced Resource
2006	Signal Gap	Performed Work
2006	Contextualize	Produced Resource
2012	Use	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Highlight Limitation	Performed Work
2006	Contextualize	Produced Resource
2006	Justify Design Choice	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Produced Resource
2012	Contextualize	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Performed Work
2006	Use	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2012	Use	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Discovery
2006	Justify Design Choice	Discovery
2006	Highlight Limitation	Performed Work
2006	Justify Design Choice	Produced Resource
2006	Contextualize	Discovery
2006	Justify Design Choice	Produced Resource
2006	Contextualize	Discovery
2006	Justify Design Choice	Discovery
2006	Contextualize	Discovery
2012	Use	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Use	Produced Resource
2006	Highlight Limitation	Performed Work
2006	Contextualize	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Produced Resource
2006	Contextualize	 Discovery
2006	Use	Produced Resource
2012	Contextualize	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Produced Resource
2006	Contextualize	Discovery
2006	Use	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Discovery
2012	Contextualize	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Produced Resource
2006	Use	Produced Resource
2006	Use	Produced Resource
2006	Contextualize	Produced Resource
2006	Use	Produced Resource
2006	Justify Design Choice	Discovery
2006	Contextualize	Discovery
2006	Evaluate Against	Produced Resource
2006	Contextualize	Produced Resource
2013	Contextualize	Discovery
2006	Evaluate Against	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Discovery
2006	Use	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Discovery
2006	Use	Produced Resource
2006	Contextualize	Produced Resource
2006	Use	Produced Resource
2006	Contextualize	Discovery
2013	Contextualize	Performed Work
2006	Highlight Limitation	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Performed Work
2006	Contextualize	Performed Work
2006	Contextualize	Produced Resource
2006	Evaluate Against	Discovery
2006	Contextualize	Produced Resource
2006	Contextualize	Performed Work
2000	Justify Design Choice	Discovery
2013	Contextualize	Performed Work
2006	Contextualize	Performed Work
2006	Evaluate Against	Discovery
2006	Contextualize	Performed Work
2006	Contextualize	Discovery
2006	Contextualize	Discovery
2006	Contextualize	Performed Work
2006	Contextualize	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Discovery
2006	Use	Produced Resource
2013	Contextualize	Discovery
2006	Contextualize	Produced Resource
2006	Justify Design Choice	Performed Work
2006	Contextualize	Produced Resource
2006	Justify Design Choice	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Performed Work
2006	Contextualize	Produced Resource
2013	Contextualize	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Performed Work
2006	Use	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Discovery
2006	Contextualize	Discovery
2006	Use	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2006	Contextualize	Produced Resource
2013	Contextualize	Produced Resource
2010	Justify Design Choice	Discovery
2010	Signal Gap	Produced Resource
2010	Signal Gap	Produced Resource
2011	Highlight Limitation	Discovery
2011	Contextualize	Discovery
2011	Use	Produced Resource
2011	Use	Produced Resource
2014	Contextualize	Discovery
2014	Use	Produced Resource
2014	Justify Design Choice	Produced Resource
2013	Contextualize	Discovery
2014	Justify Design Choice	Produced Resource
2014	Contextualize	Produced Resource
2014	Contextualize	Produced Resource
2014	Contextualize	Produced Resource
2014	Contextualize	Produced Resource
2014	Use	Produced Resource
2014	Use	Produced Resource
1998	Use	Produced Resource
2013	Contextualize	Produced Resource
2013	Contextualize	Performed Work
2013	Modify	Produced Resource
2013	Contextualize	Produced Resource
2013	Contextualize	Produced Resource
2008	Use	Produced Resource
2013	Use	Produced Resource
2013	Contextualize	Discovery
2013	Contextualize	Discovery
2013	Contextualize	Produced Resource
2013	Contextualize	Produced Resource
2013	Contextualize	Produced Resource
2013	Contextualize	Performed Work
2013	Use	Produced Resource
2013	Contextualize	Produced Resource
2013	Use	Produced Resource
2008	Signal Gap	Produced Resource
2013	Justify Design Choice	Discovery
2013	Justify Design Choice	Discovery
2013	Contextualize	Produced Resource
2013	Contextualize	Performed Work
2013	Use	Produced Resource
2013	Contextualize	Discovery
2013	Contextualize	Discovery
2013	Use	Produced Resource
2013	Use	Produced Resource
2013	Use	Produced Resource
2008	Highlight Limitation	Discovery
2013	Contextualize	Performed Work
2013	Contextualize	Discovery
2013	Contextualize	Produced Resource
2013	Contextualize	Produced Resource
2013	Contextualize	Produced Resource
2013	Justify Design Choice	Discovery
2013	Use	Discovery
2013	Contextualize	Performed Work
2013	Contextualize	Produced Resource
2013	Justify Design Choice	Discovery
2000	Use	Produced Resource
2008	Justify Design Choice	Discovery
2013	Contextualize	Performed Work
2013	Contextualize	Discovery
2013	Contextualize	Produced Resource
2013	Contextualize	Produced Resource
2013	Contextualize	Produced Resource
2013	Contextualize	Discovery
2013	Contextualize	Performed Work
2013	Contextualize	Discovery
2013	Contextualize	Performed Work
2013	Contextualize	Discovery
2008	Use	Produced Resource
2013	Contextualize	Produced Resource
2013	Contextualize	Performed Work
2013	Contextualize	Discovery
2013	Use	Produced Resource
2013	Contextualize	Performed Work
2013	Contextualize	Performed Work
2013	Evaluate Against	Discovery
2013	Contextualize	Produced Resource
2013	Contextualize	Produced Resource
2013	Contextualize	Discovery
2008	Modify	Produced Resource
2013	Use	Produced Resource
2013	Contextualize	Performed Work
2013	Contextualize	Discovery
2014	Justify Design Choice	Discovery
2014	Use	Performed Work
2014	Justify Design Choice	Performed Work
2014	Contextualize	Discovery
2014	Justify Design Choice	Produced Resource
2014	Use	Produced Resource
2003	Use	Produced Resource
2008	Signal Gap	Produced Resource
2003	Contextualize	Produced Resource
2003	Use	Produced Resource
2003	Contextualize	Produced Resource
2003	Contextualize	Produced Resource
2003	Contextualize	Discovery
2003	Justify Design Choice	Discovery
2003	Highlight Limitation	Discovery
2003	Use	Produced Resource
2003	Evaluate Against	Discovery
2003	Contextualize	Produced Resource
2008	Signal Gap	Produced Resource
2003	Justify Design Choice	Discovery
2003	Evaluate Against	Discovery
2003	Evaluate Against	Discovery
2003	Contextualize	Produced Resource
2003	Evaluate Against	Discovery
2003	Contextualize	Produced Resource
2003	Contextualize	Discovery
2003	Evaluate Against	Discovery
2003	Contextualize	Discovery
2003	Contextualize	Produced Resource
2008	Signal Gap	Produced Resource
2003	Evaluate Against	Discovery
2003	Use	Produced Resource
2003	Evaluate Against	Discovery
2003	Contextualize	Discovery
2003	Contextualize	Discovery
2003	Contextualize	Produced Resource
2003	Contextualize	Produced Resource
2003	Contextualize	Produced Resource
2003	Contextualize	Performed Work
2003	Contextualize	Performed Work
2008	Signal Gap	Produced Resource
2003	Contextualize	Discovery
2003	Contextualize	Performed Work
2003	Contextualize	Performed Work
2003	Contextualize	Produced Resource
2012	Use	Produced Resource
2012	Use	Produced Resource
2012	Use	Produced Resource
2012	Justify Design Choice	Discovery
2012	Use	Produced Resource
2012	Use	Produced Resource
2008	Evaluate Against	Discovery
2012	Contextualize	Produced Resource
2012	Contextualize	Performed Work
2012	Use	Produced Resource
2012	Use	Produced Resource
2012	Contextualize	Performed Work
2012	Contextualize	Performed Work
2012	Contextualize	Produced Resource
2012	Contextualize	Performed Work
2012	Contextualize	Performed Work
2012	Contextualize	Produced Resource
2008	Use	Produced Resource
2014	Contextualize	Performed Work
1999	Contextualize	Discovery
1999	Contextualize	Produced Resource
1999	Contextualize	Produced Resource
1999	Contextualize	Discovery
1999	Contextualize	Produced Resource
1999	Contextualize	Produced Resource
1999	Contextualize	Produced Resource
1999	Contextualize	Produced Resource
1999	Contextualize	Discovery
2008	Contextualize	Produced Resource
1999	Contextualize	Produced Resource
1999	Contextualize	Discovery
1999	Contextualize	Performed Work
2000	Contextualize	Discovery
2000	Use	Produced Resource
2000	Evaluate Against	Discovery
2000	Contextualize	Discovery
2000	Contextualize	Produced Resource
2000	Highlight Limitation	Discovery
2000	Contextualize	Performed Work
2000	Contextualize	Discovery
2008	Evaluate Against	Discovery
2000	Contextualize	Produced Resource
2000	Contextualize	Produced Resource
2000	Contextualize	Produced Resource
2000	Highlight Limitation	Discovery
2000	Highlight Limitation	Discovery
2000	Highlight Limitation	Discovery
2000	Contextualize	Discovery
2000	Contextualize	Discovery
2000	Contextualize	Discovery
2000	Highlight Limitation	Discovery
2008	Contextualize	Produced Resource
2000	Highlight Limitation	Discovery
2000	Justify Design Choice	Discovery
2000	Contextualize	Produced Resource
2000	Contextualize	Produced Resource
2000	Highlight Limitation	Discovery
2000	Justify Design Choice	Produced Resource
2000	Highlight Limitation	Discovery
2000	Contextualize	Performed Work
2000	Highlight Limitation	Discovery
2000	Evaluate Against	Discovery
2008	Use	Produced Resource
2000	Highlight Limitation	Performed Work
2000	Justify Design Choice	Produced Resource
2000	Signal Gap	Produced Resource
2000	Evaluate Against	Performed Work
2000	Evaluate Against	Performed Work
2000	Contextualize	Discovery
2000	Modify	Produced Resource
2000	Contextualize	Performed Work
2001	Contextualize	Performed Work
2001	Contextualize	Produced Resource
2008	Contextualize	Performed Work
2001	Contextualize	Produced Resource
2001	Contextualize	Produced Resource
2001	Contextualize	Performed Work
2001	Contextualize	Performed Work
2001	Contextualize	Performed Work
2001	Contextualize	Performed Work
2001	Contextualize	Performed Work
2001	Contextualize	Performed Work
2001	Contextualize	Performed Work
2001	Signal Gap	Produced Resource
2008	Contextualize	Produced Resource
2001	Contextualize	Produced Resource
2001	Contextualize	Performed Work
2001	Contextualize	Produced Resource
2001	Contextualize	Performed Work
2001	Contextualize	Performed Work
2001	Contextualize	Produced Resource
2001	Contextualize	Performed Work
2001	Contextualize	Produced Resource
2001	Contextualize	Performed Work
2002	Contextualize	Performed Work
